record_id,source_type,source,title,event_date,content,mentioned_entity,read_count,comment_count,url
COMM_000852,comment,东方财富股吧,一般都是慢慢涨到分红之后就开跌了,2026-06-07,一般都是慢慢涨到分红之后就开跌了,浦发银行(600000),38,1,"https://guba.eastmoney.com/news,600000,1721923035.html"
COMM_000853,comment,东方财富股吧,为什么市盈率个位数的公司年年有稳定分红，市盈率几千几万的高科技公司没有分红，有没,2026-06-06,为什么市盈率个位数的公司年年有稳定分红，市盈率几千几万的高科技公司没有分红，有没,浦发银行(600000),188,5,"https://guba.eastmoney.com/news,600000,1721883149.html"
COMM_000854,comment,东方财富股吧,今年一月这根巨阴线是致命的，修复很难,2026-06-06,今年一月这根巨阴线是致命的，修复很难,浦发银行(600000),50,1,"https://guba.eastmoney.com/news,600000,1721894474.html"
COMM_000855,comment,东方财富股吧,去年4.7你也跌的很厉害,2026-06-06,去年4.7你也跌的很厉害,浦发银行(600000),38,0,"https://guba.eastmoney.com/news,600000,1721894185.html"
COMM_000856,comment,东方财富股吧,其实周五早盘银行还跌的，下午开始cpo里资金已经得到消息疯狂出逃，所以大盘已经下,2026-06-06,其实周五早盘银行还跌的，下午开始cpo里资金已经得到消息疯狂出逃，所以大盘已经下,浦发银行(600000),168,3,"https://guba.eastmoney.com/news,600000,1721857699.html"
COMM_000857,comment,东方财富股吧,瑟瑟发抖啊，会不会一起跌,2026-06-06,瑟瑟发抖啊，会不会一起跌,浦发银行(600000),72,3,"https://guba.eastmoney.com/news,600000,1721836274.html"
COMM_000858,comment,东方财富股吧,你特么机会在眼前了能把握住吗？怂了一年了能不装了吗？周一看你的了！,2026-06-06,你特么机会在眼前了能把握住吗？怂了一年了能不装了吗？周一看你的了！,浦发银行(600000),51,0,"https://guba.eastmoney.com/news,600000,1721859837.html"
COMM_000859,comment,东方财富股吧,科技崩了你能争气点吗,2026-06-05,科技崩了你能争气点吗,浦发银行(600000),39,0,"https://guba.eastmoney.com/news,600000,1721793739.html"
COMM_000860,comment,东方财富股吧,下周一可能你要互一下盘面，控制一下,2026-06-05,下周一可能你要互一下盘面，控制一下,浦发银行(600000),38,0,"https://guba.eastmoney.com/news,600000,1721790716.html"
COMM_000861,comment,东方财富股吧,这个月9元下方如果不去的话，今年8.75底部了,2026-06-05,这个月9元下方如果不去的话，今年8.75底部了,浦发银行(600000),81,3,"https://guba.eastmoney.com/news,600000,1721704932.html"
COMM_000862,comment,东方财富股吧,引诱，诱多，爆裂下跌,2026-06-05,引诱，诱多，爆裂下跌,浦发银行(600000),38,0,"https://guba.eastmoney.com/news,600000,1721752758.html"
COMM_000863,comment,东方财富股吧,信达证券走势看看，谁看得懂，怎么现在都如此,2026-06-05,信达证券走势看看，谁看得懂，怎么现在都如此,浦发银行(600000),63,0,"https://guba.eastmoney.com/news,600000,1721755114.html"
COMM_000864,comment,东方财富股吧,翻阅很多票，周线都是如此及其恶劣行为，去年八月左右见顶，太多了,2026-06-05,翻阅很多票，周线都是如此及其恶劣行为，去年八月左右见顶，太多了,浦发银行(600000),41,0,"https://guba.eastmoney.com/news,600000,1721752585.html"
COMM_000865,comment,东方财富股吧,空勾还在吗？还质疑我吗？下周一10块钱,2026-06-05,空勾还在吗？还质疑我吗？下周一10块钱,浦发银行(600000),152,5,"https://guba.eastmoney.com/news,600000,1721656110.html"
COMM_000866,comment,东方财富股吧,上面一个重要位置4月21那天，9.72关注，当然要板块强势首先,2026-06-05,上面一个重要位置4月21那天，9.72关注，当然要板块强势首先,浦发银行(600000),156,0,"https://guba.eastmoney.com/news,600000,1721684249.html"
COMM_000867,comment,东方财富股吧,cpo突然回落救了浦发一下，否则今天早上回落收阴那必破9元,2026-06-05,cpo突然回落救了浦发一下，否则今天早上回落收阴那必破9元,浦发银行(600000),36,0,"https://guba.eastmoney.com/news,600000,1721668675.html"
COMM_000868,comment,东方财富股吧,今天，好几天一直收到浦发垃圾短信，拉黑,2026-06-05,今天，好几天一直收到浦发垃圾短信，拉黑,浦发银行(600000),125,0,"https://guba.eastmoney.com/news,600000,1721657160.html"
COMM_000869,comment,东方财富股吧,这货生存之道只局限于cpo大跌，那不是办法,2026-06-05,这货生存之道只局限于cpo大跌，那不是办法,浦发银行(600000),39,1,"https://guba.eastmoney.com/news,600000,1721598203.html"
COMM_000870,comment,东方财富股吧,$浦发银行(SH600000)$,2026-06-05,$浦发银行(SH600000)$,浦发银行(600000),20,0,"https://guba.eastmoney.com/news,600000,1721560536.html"
COMM_000871,comment,东方财富股吧,难怪，cpo救你命,2026-06-05,难怪，cpo救你命,浦发银行(600000),40,0,"https://guba.eastmoney.com/news,600000,1721475684.html"
COMM_000872,comment,东方财富股吧,我估计这月收盘，它顶多收在9.5到9.6这里附近,2026-06-05,我估计这月收盘，它顶多收在9.5到9.6这里附近,浦发银行(600000),33,0,"https://guba.eastmoney.com/news,600000,1721404341.html"
COMM_000873,comment,东方财富股吧,六月底开股东大会，七月头分红，看这个月它怎么收，今天中移动分红除权头一天跌，上海,2026-06-05,六月底开股东大会，七月头分红，看这个月它怎么收，今天中移动分红除权头一天跌，上海,浦发银行(600000),53,0,"https://guba.eastmoney.com/news,600000,1721403756.html"
